,R0000100,raceparent,sexparent,sociabilitypchild,sociabilitypadult,rosenbergscore87parent,rosenbergscore06parent,rotterscale14parent,riskaversionparent,riskinfinancialmattersparent,riskinoccupationparent,riskwithhealthparent,riskinmajorlifechangesparent,rotterscale16parent,rotterscale18parent,gradeattendedparent,gradecompletedparent,C0000100,C0000200,race,sex,dob,yadultid,jobdissatisfaction1,jobdissatisfaction2,jobdissatisfaction3,jobdissatisfaction4,jobdissatisfaction5,incomewages,incomewages1,incomebus,incomewagesafterexp,Y4562700,pearlin1,pearlin2,pearlin3,pearlin4,pearlin5,pearlin6,pearlin7,selfestm1,selfestm2,selfestm3,selfestm4,selfestm5,selfestm6,selfestm7,selfestm8,selfestm9,selfestm10,newexperience,cesd1,cesd2,cesd3,cesd4,cesd5,cesd6,cesd7,cesd8,cesd9,cesd10,cesd11,famatt1,famatt2,famatt3,famatt4,famatt5,famatt6,famatt7,famatt8,famatt9,famatt10,famatt11,famatt12,newexperiencecmplx,reasonsforexperience,age,Self-Esteem,Pearlin,sex_2,race_2,race_3
22,27,3,2,3,3,28.0,30.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,2702,27,3,1,1992,2702,2.0,4,4,-7,-7,60000,-7,8000,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,0,0,1
23,30,3,2,2,3,20.0,30.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,3001,30,3,1,1982,3001,1.0,-7,-7,-7,-7,20000,-7,-7,0,-7,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,3,2,2,3,2,2,2,4,1,2,5,11,37,31.0,14.0,0,0,1
24,30,3,2,2,3,20.0,30.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,3002,30,3,1,1987,3002,1.0,-7,-7,-7,-7,17000,-7,-7,-7,-7,1.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,2,2,3,3,4,2,2,1,1,2,-7,4,33,25.0,15.0,0,0,1
25,30,3,2,2,3,20.0,30.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,3003,30,3,1,1991,3003,1.0,2,-7,-7,-7,35000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,29,28.0,16.0,0,0,1
28,37,3,2,1,2,25.0,27.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,3701,37,3,2,1990,3701,2.0,-7,-7,-7,-7,0,-7,-7,15000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,0,2,0,0,3,3,0,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,31,28.0,16.0,1,0,1
29,43,3,2,1,2,20.0,24.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,4301,43,3,2,1982,4301,2.0,2,3,-7,-7,28000,-7,-7,42000,-7,1.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,1,4,2,4,3,3,2,1,3,7,4,38,30.0,14.0,1,0,1
31,43,3,2,1,2,20.0,24.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,4303,43,3,2,1997,4303,1.0,1,-7,-7,-7,11000,-7,-7,-7,-7,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3,2,2,2,2,2,1,1,0,2,2,0,1,2,2,1,3,1,4,2,2,3,1,3,-7,-7,23,23.0,18.0,1,0,1
32,43,3,2,1,2,20.0,24.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,4304,43,3,2,2000,4304,1.0,2,-7,-7,-7,0,-7,-7,300,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,0,1,0,0,1,3,0,0,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,28.0,16.0,1,0,1
37,49,3,2,3,3,18.0,24.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,4901,49,3,1,1982,4901,1.0,1,1,-7,-7,7000,-7,-7,95000,-7,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,-2,-2,3,1,4,2,3,3,1,4,7,9,37,27.0,16.0,0,0,1
38,49,3,2,3,3,18.0,24.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,4902,49,3,1,1987,4902,1.0,1,-7,-7,-7,72000,-7,-7,43000,-7,1.0,2.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,4.0,1.0,3.0,1.0,4.0,3.0,3.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,1,1,4,1,4,2,4,2,1,3,-7,9,33,25.0,16.0,0,0,1
43,50,3,2,3,3,25.0,26.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5005,50,3,2,1992,5005,1.0,-7,-7,-7,-7,36000,-7,-7,25000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,1,0,1
44,57,3,2,3,4,28.0,26.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5701,57,3,1,1979,5701,1.0,4,2,-7,-7,62000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,2,2,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,41,28.0,16.0,0,0,1
45,57,3,2,3,4,28.0,26.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5702,57,3,1,1995,5702,2.0,4,1,-7,-7,14000,-7,-7,-7,-7,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,4,3,3,2,3,1,4,2,-7,25,26.0,18.0,0,0,1
46,57,3,2,3,4,28.0,26.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5703,57,3,2,1998,5703,1.0,2,2,2,-7,-2,4,-7,50000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,1,1,1,0,0,3,1,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,22,28.0,16.0,1,0,1
50,61,3,2,3,4,28.0,25.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6101,61,3,2,1993,6101,1.0,-7,-7,-7,-7,80000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,1,0,1
51,61,3,2,3,4,28.0,25.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6102,61,3,1,1994,6102,2.0,2,-7,-7,-7,40000,-7,-7,-2,-7,2.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,1,3,1,4,2,2,2,2,4,5,-7,26,27.0,16.0,0,0,1
53,62,3,2,2,2,25.0,22.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,6201,62,3,1,1996,6201,2.0,-7,-7,-7,-7,26000,-7,-7,-7,-7,2.0,2.0,1.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3,0,0,0,0,0,1,1,0,1,0,0,2,1,2,2,2,2,3,2,2,2,1,3,-7,-7,24,30.0,15.0,0,0,1
54,62,3,2,2,2,25.0,22.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,6202,62,3,2,1998,6202,1.0,2,1,-7,-7,30000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,0,0,0,3,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,22,28.0,16.0,1,0,1
55,62,3,2,2,2,25.0,22.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,6203,62,3,2,2001,6203,2.0,-7,-7,-7,-7,2000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,2,1,2,1,3,0,3,2,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,18,28.0,16.0,1,0,1
56,68,3,2,2,4,29.0,20.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,6801,68,3,2,1993,6801,1.0,1,-7,-7,-7,63000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,1,0,1
57,68,3,2,2,4,29.0,20.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,6802,68,3,1,1995,6802,1.0,1,-7,-7,-7,106000,-7,-7,-7,-7,1.0,1.0,2.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,2,1,2,1,3,2,3,2,1,4,7,-7,25,36.0,14.0,0,0,1
58,68,3,2,2,4,29.0,20.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,6803,68,3,2,1996,6803,2.0,1,-7,-7,-7,30000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3,0,0,0,0,1,1,3,0,0,0,0,1,1,3,1,3,1,4,2,3,3,1,4,-7,-7,23,24.0,17.0,1,0,1
63,78,3,2,1,3,17.0,20.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7803,78,3,1,1996,7803,2.0,1,-7,-7,-7,53000,-7,-7,-7,-7,2.0,2.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3,1,0,0,0,0,0,2,0,0,0,0,1,1,3,2,2,2,4,2,3,3,1,3,-7,-7,24,34.0,16.0,0,0,1
66,89,2,2,4,4,27.0,27.0,-5,-5,-5,-5,-5,-5,6,-4,-4,-4,8901,89,2,2,1986,8901,1.0,-7,-7,-7,-7,32000,-7,-7,25000,-7,1.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,2,1,3,2,2,2,1,3,-7,-2,34,31.0,16.0,1,1,0
67,91,3,2,2,3,27.0,22.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,9101,91,3,1,1994,9101,2.0,2,-7,-7,-7,20000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,4,1,3,1,4,2,3,4,1,2,5,-7,26,23.0,15.0,0,0,1
68,91,3,2,2,3,27.0,22.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,9102,91,3,1,1996,9102,1.0,-7,-7,-7,-7,30000,-7,-7,18000,-7,1.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3,0,0,0,0,0,2,3,0,0,0,0,1,1,3,1,3,1,4,2,3,3,1,2,-7,-7,24,35.0,15.0,0,0,1
69,92,3,2,2,3,30.0,28.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,9201,92,3,1,1982,9201,3.0,3,-7,-7,-7,50000,-7,-7,-7,-7,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,4,2,3,2,2,1,1,3,6,9,38,25.0,19.0,0,0,1
70,92,3,2,2,3,30.0,28.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,9202,92,3,1,1992,9202,3.0,4,-7,-7,-7,16000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,0,0,1
72,95,3,2,3,3,28.0,20.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,9502,95,3,1,1987,9502,3.0,-7,-7,-7,-7,65000,-7,-7,65000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,2,3,2,3,2,3,2,2,3,-7,-2,33,27.0,16.0,0,0,1
75,96,3,2,2,3,27.0,29.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,9602,96,3,2,1986,9602,2.0,3,2,-7,-7,40000,-7,-7,-2,-7,1.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,3,1,4,1,3,2,1,4,-7,2,34,29.0,13.0,1,0,1
76,96,3,2,2,3,27.0,29.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,9603,96,3,1,1998,9603,1.0,2,1,-7,-7,17000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,0,0,0,0,1,3,2,0,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,22,28.0,16.0,0,0,1
77,97,3,2,3,3,22.0,22.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,9701,97,3,1,1987,9701,2.0,-7,-7,-7,-7,6000,-7,-7,-7,-7,2.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,3,2,3,3,2,2,2,3,-7,9,33,27.0,19.0,0,0,1
79,98,3,2,4,4,28.0,28.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,9801,98,3,1,1987,9801,2.0,1,-7,-7,-7,59000,-7,-7,-7,-7,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,3,2,3,3,3,2,1,2,-7,-7,33,26.0,17.0,0,0,1
80,98,3,2,4,4,28.0,28.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,9802,98,3,1,1990,9802,1.0,1,-7,-7,-7,85000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,1,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,30,28.0,16.0,0,0,1
81,98,3,2,4,4,28.0,28.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,9803,98,3,1,1994,9803,2.0,-7,-7,-7,-7,80000,-7,-7,-7,-7,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,2,4,2,3,2,2,1,1,3,4,-7,26,25.0,16.0,0,0,1
82,99,3,2,2,4,20.0,18.0,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,9901,99,3,1,1987,9901,1.0,-7,-7,-7,-7,32000,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,2,2,3,2,4,2,2,2,1,3,-7,9,33,36.0,13.0,0,0,1
83,99,3,2,2,4,20.0,18.0,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,9902,99,3,1,1993,9902,1.0,2,-7,-7,-7,40000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,0,0,1
86,100,3,2,1,3,19.0,24.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,10003,100,3,2,1993,10003,1.0,3,-7,-7,-7,12000,-7,-7,73000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,1,0,1
88,111,3,2,4,3,28.0,24.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,11101,111,3,2,1982,11101,2.0,-7,-7,-7,-7,44000,-7,-7,45000,9000,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,2,4,1,4,2,3,3,1,4,5,9,39,27.0,16.0,1,0,1
90,111,3,2,4,3,28.0,24.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,11103,111,3,1,1987,11103,2.0,-7,-7,-7,-7,30000,-7,-7,-7,-7,2.0,2.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,3,4,1,3,1,4,2,3,3,1,3,-7,-7,33,31.0,16.0,0,0,1
91,112,3,2,1,3,30.0,26.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,11201,112,3,1,1982,11201,1.0,1,-7,-7,-7,38000,-7,-7,-7,-7,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,2,2,3,3,3,2,2,2,1,3,4,9,38,26.0,16.0,0,0,1
92,112,3,2,1,3,30.0,26.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,11202,112,3,2,1997,11202,3.0,1,-7,-7,-7,20000,-7,-7,15000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3,1,0,1,0,1,1,2,0,0,1,0,1,1,1,1,2,1,4,1,3,2,1,4,-7,-7,23,25.0,16.0,1,0,1
98,118,3,2,3,4,20.0,20.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11802,118,3,2,1991,11802,2.0,3,-7,-7,-7,30000,-7,-7,30000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,2,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,29,28.0,16.0,1,0,1
