,R0000100,raceparent,sexparent,sociabilitypchild,sociabilitypadult,rosenbergscore87parent,rosenbergscore06parent,rotterscale14parent,riskaversionparent,riskinfinancialmattersparent,riskinoccupationparent,riskwithhealthparent,riskinmajorlifechangesparent,rotterscale16parent,rotterscale18parent,gradeattendedparent,gradecompletedparent,C0000100,C0000200,race,sex,dob,yadultid,jobsatisfaction1,jobsatisfaction2,jobsatisfaction3,jobsatisfaction4,jobsatisfaction5,incomewages,incomewages1,incomebus,incomewagesafterexp,Y4562700,pearlin1,pearlin2,pearlin3,pearlin4,pearlin5,pearlin6,pearlin7,selfestm1,selfestm2,selfestm3,selfestm4,selfestm5,selfestm6,selfestm7,selfestm8,selfestm9,selfestm10,newexperience,cesd1,cesd2,cesd3,cesd4,cesd5,cesd6,cesd7,cesd8,cesd9,cesd10,cesd11,famatt1,famatt2,famatt3,famatt4,famatt5,famatt6,famatt7,famatt8,famatt9,famatt10,famatt11,famatt12,newexperiencecmplx,reasonsforexperience,age
10,10,3,2,1,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1001,10,3,2,1983,1001,1,1,-7,-7,-7,75000,-7,75000,75000,75000,1,3,2,4,4,4,1,4,4,1,4,1,3,4,2,4,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,3,2,4,1,2,2,1,3,7,9,37
11,10,3,2,1,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1002,10,3,2,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
12,12,3,2,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1201,12,3,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
13,12,3,2,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1202,12,3,1,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
14,16,3,2,3,4,26,19,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,1601,16,3,1,1990,1601,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
15,16,3,2,3,4,26,19,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,1602,16,3,1,1993,1602,2,-7,-7,-7,-7,40000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27
16,16,3,2,3,4,26,19,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,1603,16,3,2,1996,1603,2,3,-7,-7,-7,0,-7,-7,-7,-7,2,3,2,3,4,4,2,3,3,3,2,2,2,2,4,3,3,3,1,1,2,3,3,3,2,3,3,2,1,2,2,3,2,3,2,3,2,2,3,1,3,-7,-7,24
17,19,3,2,3,3,30,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1901,19,3,2,1987,1901,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
18,20,3,2,2,3,26,24,6,-4,-4,-4,-4,-4,-4,-5,-5,-5,2001,20,3,2,1990,2001,3,-7,-7,-7,-7,45000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,3,2,2,1,2,2,2,2,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,30
19,25,3,2,2,3,20,21,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,2501,25,3,1,1990,2501,2,1,-7,-7,-7,105000,-7,-7,120000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,0,3,1,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,30
20,25,3,2,2,3,20,21,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,2502,25,3,2,1993,2502,2,-7,-7,-7,-7,57000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27
21,27,3,2,3,3,28,30,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,2701,27,3,2,1988,2701,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
22,27,3,2,3,3,28,30,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,2702,27,3,1,1992,2702,2,4,4,-7,-7,60000,-7,8000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28
23,30,3,2,2,3,20,30,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,3001,30,3,1,1982,3001,1,-7,-7,-7,-7,20000,-7,-7,0,-7,3,2,1,2,2,2,2,3,4,1,3,1,3,3,1,2,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,3,2,2,3,2,2,2,4,1,2,5,11,37
24,30,3,2,2,3,20,30,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,3002,30,3,1,1987,3002,1,-7,-7,-7,-7,17000,-7,-7,-7,-7,1,3,1,3,2,3,2,3,3,2,3,3,3,3,3,2,2,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,2,2,3,3,4,2,2,1,1,2,-7,4,33
25,30,3,2,2,3,20,30,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,3003,30,3,1,1991,3003,1,2,-7,-7,-7,35000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,29
26,35,3,2,1,2,28,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3501,35,3,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
27,35,3,2,1,2,28,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3502,35,3,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
28,37,3,2,1,2,25,27,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,3701,37,3,2,1990,3701,2,-7,-7,-7,-7,0,-7,-7,15000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,2,0,0,3,3,0,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,31
29,43,3,2,1,2,20,24,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,4301,43,3,2,1982,4301,2,2,3,-7,-7,28000,-7,-7,42000,-7,1,1,1,3,2,4,2,3,4,2,3,1,3,3,1,2,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,1,4,2,4,3,3,2,1,3,7,4,38
30,43,3,2,1,2,20,24,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,4302,43,3,2,1989,4302,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
31,43,3,2,1,2,20,24,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,4303,43,3,2,1997,4303,1,1,-7,-7,-7,11000,-7,-7,-7,-7,2,3,2,3,3,3,2,3,3,2,3,2,2,2,3,3,3,3,2,2,2,2,2,1,1,0,2,2,0,1,2,2,1,3,1,4,2,2,3,1,3,-7,-7,23
32,43,3,2,1,2,20,24,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,4304,43,3,2,2000,4304,1,2,-7,-7,-7,0,-7,-7,300,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,1,0,0,1,3,0,0,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20
33,44,3,2,3,3,21,30,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4401,44,3,2,1981,4401,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
34,44,3,2,3,3,21,30,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4402,44,3,2,1985,4402,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
35,46,3,2,2,3,21,26,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4601,46,3,2,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
36,46,3,2,2,3,21,26,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4602,46,3,2,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
37,49,3,2,3,3,18,24,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,4901,49,3,1,1982,4901,1,1,1,-7,-7,7000,-7,-7,95000,-7,3,3,1,3,2,2,2,3,4,1,3,2,3,3,3,3,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,-2,-2,3,1,4,2,3,3,1,4,7,9,37
38,49,3,2,3,3,18,24,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,4902,49,3,1,1987,4902,1,1,-7,-7,-7,72000,-7,-7,43000,-7,1,2,2,4,1,4,2,3,3,1,1,2,1,4,2,2,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,1,1,4,1,4,2,4,2,1,3,-7,9,33
39,50,3,2,3,3,25,26,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5001,50,3,1,1985,5001,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
40,50,3,2,3,3,25,26,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5002,50,3,1,1988,5002,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
41,50,3,2,3,3,25,26,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5003,50,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
42,50,3,2,3,3,25,26,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5004,50,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
43,50,3,2,3,3,25,26,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5005,50,3,2,1992,5005,1,-7,-7,-7,-7,36000,-7,-7,25000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28
44,57,3,2,3,4,28,26,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5701,57,3,1,1979,5701,1,4,2,-7,-7,62000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,2,2,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,41
45,57,3,2,3,4,28,26,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5702,57,3,1,1995,5702,2,4,1,-7,-7,14000,-7,-7,-7,-7,2,3,2,3,2,4,2,3,3,2,4,2,3,2,3,2,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,4,3,3,2,3,1,4,2,-7,25
46,57,3,2,3,4,28,26,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5703,57,3,2,1998,5703,1,2,2,2,-7,-2,4,-7,50000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,0,0,3,1,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,22
47,58,3,2,3,3,30,28,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5801,58,3,2,1981,5801,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
48,58,3,2,3,3,30,28,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5802,58,3,2,1984,5802,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
49,58,3,2,3,3,30,28,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5803,58,3,1,1988,5803,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
50,61,3,2,3,4,28,25,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6101,61,3,2,1993,6101,1,-7,-7,-7,-7,80000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27
51,61,3,2,3,4,28,25,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6102,61,3,1,1994,6102,2,2,-7,-7,-7,40000,-7,-7,-2,-7,2,1,2,3,2,4,2,3,3,4,4,1,3,3,2,2,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,1,3,1,4,2,2,2,2,4,5,-7,26
52,61,3,2,3,4,28,25,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6103,61,3,1,2003,6103,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,2,3,2,3,2,3,2,3,3,2,3,2,3,3,3,2,2,3,0,0,0,0,0,1,3,1,1,1,0,1,3,3,2,3,3,3,2,2,3,1,3,-7,-7,17
53,62,3,2,2,2,25,22,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,6201,62,3,1,1996,6201,2,-7,-7,-7,-7,26000,-7,-7,-7,-7,2,2,1,4,2,3,1,3,3,1,4,1,3,3,2,2,2,3,0,0,0,0,0,1,1,0,1,0,0,2,1,2,2,2,2,3,2,2,2,1,3,-7,-7,24
54,62,3,2,2,2,25,22,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,6202,62,3,2,1998,6202,1,2,1,-7,-7,30000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,0,0,3,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,22
55,62,3,2,2,2,25,22,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,6203,62,3,2,2001,6203,2,-7,-7,-7,-7,2000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,1,2,1,3,0,3,2,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,18
56,68,3,2,2,4,29,20,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,6801,68,3,2,1993,6801,1,1,-7,-7,-7,63000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27
57,68,3,2,2,4,29,20,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,6802,68,3,1,1995,6802,1,1,-7,-7,-7,106000,-7,-7,-7,-7,1,1,2,3,1,4,2,4,4,1,4,1,4,4,1,1,1,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,2,1,2,1,3,2,3,2,1,4,7,-7,25
58,68,3,2,2,4,29,20,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,6803,68,3,2,1996,6803,2,1,-7,-7,-7,30000,-7,-7,-7,-7,2,2,2,3,3,3,2,3,3,2,3,2,2,3,3,3,2,3,0,0,0,0,1,1,3,0,0,0,0,1,1,3,1,3,1,4,2,3,3,1,4,-7,-7,23
59,75,3,2,2,3,28,25,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,7501,75,3,2,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
60,75,3,2,2,3,28,25,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,7502,75,3,2,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
61,78,3,2,1,3,17,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7801,78,3,2,1989,7801,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
