C0000100,C0000200,race,sex,dob,yadultid,jobsatisfaction1,jobsatisfaction2,jobsatisfaction3,jobsatisfaction4,jobsatisfaction5,incomewages,incomewages1,incomebus,incomewagesafterexp,Y4562700,pearlin1,pearlin2,pearlin3,pearlin4,pearlin5,pearlin6,pearlin7,selfestm1,selfestm2,selfestm3,selfestm4,selfestm5,selfestm6,selfestm7,selfestm8,selfestm9,selfestm10,newexperience,cesd1,cesd2,cesd3,cesd4,cesd5,cesd6,cesd7,cesd8,cesd9,cesd10,cesd11,famatt1,famatt2,famatt3,famatt4,famatt5,famatt6,famatt7,famatt8,famatt9,famatt10,famatt11,famatt12,newexperiencecmplx,reasonsforexperience,age
3001,30,3,1,1982,3001,1,-7,-7,-7,-7,20000,-7,-7,0,-7,3,2,1,2,2,2,2,3,4,1,3,1,3,3,1,2,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,3,2,2,3,2,2,2,4,1,2,5,11,37
3002,30,3,1,1987,3002,1,-7,-7,-7,-7,17000,-7,-7,-7,-7,1,3,1,3,2,3,2,3,3,2,3,3,3,3,3,2,2,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,2,2,3,3,4,2,2,1,1,2,-7,4,33
3003,30,3,1,1991,3003,1,2,-7,-7,-7,35000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,29
3501,35,3,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
3502,35,3,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
3701,37,3,2,1990,3701,2,-7,-7,-7,-7,0,-7,-7,15000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,2,0,0,3,3,0,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,31
4301,43,3,2,1982,4301,2,2,3,-7,-7,28000,-7,-7,42000,-7,1,1,1,3,2,4,2,3,4,2,3,1,3,3,1,2,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,1,4,2,4,3,3,2,1,3,7,4,38
4302,43,3,2,1989,4302,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
4303,43,3,2,1997,4303,1,1,-7,-7,-7,11000,-7,-7,-7,-7,2,3,2,3,3,3,2,3,3,2,3,2,2,2,3,3,3,3,2,2,2,2,2,1,1,0,2,2,0,1,2,2,1,3,1,4,2,2,3,1,3,-7,-7,23
4304,43,3,2,2000,4304,1,2,-7,-7,-7,0,-7,-7,300,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,1,0,0,1,3,0,0,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20
4401,44,3,2,1981,4401,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
4402,44,3,2,1985,4402,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
4601,46,3,2,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
4602,46,3,2,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
4901,49,3,1,1982,4901,1,1,1,-7,-7,7000,-7,-7,95000,-7,3,3,1,3,2,2,2,3,4,1,3,2,3,3,3,3,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,-2,-2,3,1,4,2,3,3,1,4,7,9,37
4902,49,3,1,1987,4902,1,1,-7,-7,-7,72000,-7,-7,43000,-7,1,2,2,4,1,4,2,3,3,1,1,2,1,4,2,2,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,1,1,4,1,4,2,4,2,1,3,-7,9,33
5001,50,3,1,1985,5001,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5002,50,3,1,1988,5002,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5003,50,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5004,50,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5005,50,3,2,1992,5005,1,-7,-7,-7,-7,36000,-7,-7,25000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28
5701,57,3,1,1979,5701,1,4,2,-7,-7,62000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,2,2,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,41
5702,57,3,1,1995,5702,2,4,1,-7,-7,14000,-7,-7,-7,-7,2,3,2,3,2,4,2,3,3,2,4,2,3,2,3,2,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,4,3,3,2,3,1,4,2,-7,25
5703,57,3,2,1998,5703,1,2,2,2,-7,-2,4,-7,50000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,0,0,3,1,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,22
5801,58,3,2,1981,5801,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5802,58,3,2,1984,5802,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5803,58,3,1,1988,5803,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
6101,61,3,2,1993,6101,1,-7,-7,-7,-7,80000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27
6102,61,3,1,1994,6102,2,2,-7,-7,-7,40000,-7,-7,-2,-7,2,1,2,3,2,4,2,3,3,4,4,1,3,3,2,2,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,1,3,1,4,2,2,2,2,4,5,-7,26
6103,61,3,1,2003,6103,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,2,3,2,3,2,3,2,3,3,2,3,2,3,3,3,2,2,3,0,0,0,0,0,1,3,1,1,1,0,1,3,3,2,3,3,3,2,2,3,1,3,-7,-7,17
6201,62,3,1,1996,6201,2,-7,-7,-7,-7,26000,-7,-7,-7,-7,2,2,1,4,2,3,1,3,3,1,4,1,3,3,2,2,2,3,0,0,0,0,0,1,1,0,1,0,0,2,1,2,2,2,2,3,2,2,2,1,3,-7,-7,24
6202,62,3,2,1998,6202,1,2,1,-7,-7,30000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,0,0,3,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,22
6203,62,3,2,2001,6203,2,-7,-7,-7,-7,2000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,1,2,1,3,0,3,2,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,18
6801,68,3,2,1993,6801,1,1,-7,-7,-7,63000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27
6802,68,3,1,1995,6802,1,1,-7,-7,-7,106000,-7,-7,-7,-7,1,1,2,3,1,4,2,4,4,1,4,1,4,4,1,1,1,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,2,1,2,1,3,2,3,2,1,4,7,-7,25
6803,68,3,2,1996,6803,2,1,-7,-7,-7,30000,-7,-7,-7,-7,2,2,2,3,3,3,2,3,3,2,3,2,2,3,3,3,2,3,0,0,0,0,1,1,3,0,0,0,0,1,1,3,1,3,1,4,2,3,3,1,4,-7,-7,23
7501,75,3,2,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
7502,75,3,2,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
7801,78,3,2,1989,7801,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
7802,78,3,2,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
7803,78,3,1,1996,7803,2,1,-7,-7,-7,53000,-7,-7,-7,-7,2,2,1,4,2,4,1,4,4,1,3,1,4,3,1,1,1,3,1,0,0,0,0,0,2,0,0,0,0,1,1,3,2,2,2,4,2,3,3,1,3,-7,-7,24
7804,78,3,2,2000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
8601,86,2,2,1977,8601,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
8901,89,2,2,1986,8901,1,-7,-7,-7,-7,32000,-7,-7,25000,-7,1,2,3,3,2,3,2,4,4,1,3,1,3,3,2,2,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,2,1,3,2,2,2,1,3,-7,-2,34
9101,91,3,1,1994,9101,2,2,-7,-7,-7,20000,-7,-7,-7,-7,2,2,2,3,2,2,2,3,3,2,3,2,2,2,3,3,3,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,4,1,3,1,4,2,3,4,1,2,5,-7,26
9102,91,3,1,1996,9102,1,-7,-7,-7,-7,30000,-7,-7,18000,-7,1,1,2,4,2,3,2,4,4,1,4,1,4,4,2,1,1,3,0,0,0,0,0,2,3,0,0,0,0,1,1,3,1,3,1,4,2,3,3,1,2,-7,-7,24
9201,92,3,1,1982,9201,3,3,-7,-7,-7,50000,-7,-7,-7,-7,2,3,3,3,3,3,2,3,3,2,3,1,3,3,4,3,3,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,4,2,3,2,2,1,1,3,6,9,38
9202,92,3,1,1992,9202,3,4,-7,-7,-7,16000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28
9501,95,3,1,1985,9501,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9502,95,3,1,1987,9502,3,-7,-7,-7,-7,65000,-7,-7,65000,-7,2,2,2,3,2,3,2,3,3,2,3,2,3,3,2,2,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,2,3,2,3,2,3,2,2,3,-7,-2,33
9503,95,3,1,1988,9503,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9601,96,3,2,1980,9601,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9602,96,3,2,1986,9602,2,3,2,-7,-7,40000,-7,-7,-2,-7,1,1,1,3,2,4,1,4,4,1,3,2,3,3,2,3,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,3,1,4,1,3,2,1,4,-7,2,34
9603,96,3,1,1998,9603,1,2,1,-7,-7,17000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,0,0,0,1,3,2,0,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,22
9701,97,3,1,1987,9701,2,-7,-7,-7,-7,6000,-7,-7,-7,-7,2,3,2,4,2,4,2,3,3,2,3,2,3,3,2,2,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,3,2,3,3,2,2,2,3,-7,9,33
9702,97,3,1,1989,9702,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9801,98,3,1,1987,9801,2,1,-7,-7,-7,59000,-7,-7,-7,-7,2,3,2,3,1,4,2,3,3,2,3,2,3,3,3,2,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,3,2,3,3,3,2,1,2,-7,-7,33
9802,98,3,1,1990,9802,1,1,-7,-7,-7,85000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,1,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,30
